avg_income	median_age	median_networth
38845	43.3	69424
37398	38.6	29989
28492	44.7	14959
54413	41.2	156072
52900	42.8	68892
53306	48.3	161327
39366	40.5	23787
56561	41.8	132968
28091	37.2	13852
18614	36.3	10179
31356	35.6	12920
42209	44.9	56604
50869	39.5	85842
48222	43.8	126876
45573	46.9	121893
42114	48.5	82440
53228	47	75000
53675	46.5	163172
39552	55.6	28088
30830	45.6	22478
27871	39.4	13816
32630	35.8	13467
32365	35.9	21655
28946	38.5	11764
41010	45.7	86183
43369	41	86332
41922	46	105249
43728	42.6	97068
34785	47	70567
44914	42.3	130072
26128	42.1	13185
36592	53.9	29280
37115	41.8	41630
43252	39.6	84808
44521	39.1	75793
39926	42.4	56076
36232	41.9	27910
47403	44.7	152115
42028	42	43018
38676	42.2	14771
33496	43.6	13581
40540	44.6	80189
46445	42.5	86288
42633	39.2	100735
40731	44.3	55898
60257	41.2	155805
53715	41.3	103044
46805	39.1	81343
45878	39.6	84152
43739	37.9	81225
54644	42.7	142097
42492	38.7	57953
45262	37.8	111855
41152	43.8	54162
50030	41	79357
59289	45.1	191323
51651	39.8	161215
54487	40.6	113048
38173	41.5	58735
45577	38	73792
47169	42.8	110765
37023	41.9	49740
52041	39	108085
56336	39.1	163263
43125	39.7	105460
55186	35.8	123102
50365	38.4	50885
47040	41.3	91931
70949	49.5	322902
57983	38.8	126123
32569	35.4	11250
26836	35.1	12145
56492	45.1	168308
46312	37.3	40795
28321	42.5	12745
54265	51.9	97498
50163	38.6	103753
60888	42.8	127200
40709	36.4	32965
55962	38.6	117259
43986	38	13046
28519	35.1	12472
22833	40.6	9823
49428	43.4	127072
49174	39.2	73118
45448	39.3	78772
44581	42.5	98740
51257	39.2	107612
41184	39.5	66479
51240	42.9	136318
48226	43.4	106272
34558	42.6	42631
31283	41.6	13011
41982	37.8	82947
40515	37.3	76724
43925	47.1	113150
43343	43.3	89137
55657	43.7	145855
48080	44.7	119699
39695	41.6	85881
41550	44.8	77070
50125	51.3	124315
46219	42.7	85253
47428	43.8	153689
42615	24.1	10000
44210	22.8	10727
45660	24.1	11073
41926	41.5	51309
45211	45.4	88140
46829	46.7	129999
48565	45.4	101861
47069	43.2	122099
44156	45.4	80878
40544	44	71429
57444	50	232081
42762	50.4	159353
48517	45.3	111168
23819	41.4	11733
36691	39.1	14180
19566	35.5	10553
32524	38.4	13940
34797	37.2	26198
28832	31.8	11836
42325	34.9	51320
43409	42	102288
36840	33.4	13269
50836	42.3	119312
45370	46.7	115678
47426	46.9	127880
49027	53.9	18759
51452	32.6	27632
51361	35.9	67963
43716	39.7	51331
38011	31	14304
36255	35.5	12314
41480	44	33404
53829	39.3	96087
43033	34.9	42276
48460	48.4	116248
49282	44.4	85022
43932	44	74262
41843	43.1	51310
65374	37.9	161339
44346	39.8	53560
41848	34.9	14088
39033	37.3	25064
37466	34.3	27776
44699	43.6	98992
59939	44.4	175259
33771	41.1	59900
36273	40.1	15642
34703	39.6	30620
42226	43.8	54941
44483	31.3	37206
42455	45.1	94820
45929	41.9	80604
35459	28.9	12644
35614	35.6	37339
22211	31	9457
22200	28.5	10302
23559	33.9	10211
20307	35.2	10549
19153	46.5	12200
17020	27.5	9188
21266	34.6	10584
30563	34.7	14171
37120	38.8	12442
48828	43.4	17732
23730	35.9	10693
58800	43.8	181001
45368	42	47119
38109	35.1	14408
36959	36.2	11796
64443	42.3	94458
31653	46.4	23956
24909	44.9	15621
27427	41.8	14488
24082	44.8	19565
24877	45.4	20068
34994	48	79067
26086	37.9	14007
32058	40.6	44258
38470	41.3	47225
19851	38.9	10524
27591	27.9	11509
28886	30.7	11529
41372	41	79841
37086	45.1	44458
34414	39	24904
46810	41.4	87544
34772	41.8	35000
39895	43.3	73542
37475	42.6	57542
42377	43.1	102671
46688	34.5	76020
37530	38.9	52083
40872	41.6	55647
40257	41.9	38737
35119	42.3	14916
39166	42.8	56946
36513	36.9	39923
41227	38.1	79860
